Bar: La Pétaudière | ID: node/253007445 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Thensurabi | ID: node/879643697 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Cyclone | ID: node/880529519 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection.
Bar: La Bulle | ID: node/881969027 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Le Clairon Gourmand | ID: node/895570206 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: El Tequila Mexicana | ID: node/897207151 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Chantoiseau | ID: node/914748066 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Café Leon | ID: node/916588773 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Zaitoun (Léa Beyrouth) | ID: node/917438783 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: La Guincheuse | ID: node/917438849 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Le Point Ephémère | ID: node/921881553 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection.
Bar: Rita | ID: node/985435188 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Architecture.
Bar: Oishii | ID: node/990384075 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture, Boundaries.
Bar: TTown | ID: node/990384086 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: La Royale | ID: node/997919835 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: Les 3 Frères | ID: node/1015830169 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Navel | ID: node/1015830973 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity, Furniture.
Bar: Au rendez-vous des chauffeurs | ID: node/1035711035 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture.
Bar: La Coupole | ID: node/1035711050 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: Angkor | ID: node/1035728774 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Furniture.
Bar: Kbio Foods | ID: node/1035778113 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection, Architecture.
Bar: O'Parc | ID: node/1035778132 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: (sans nom) | ID: node/1035787952 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Qooto Qooto Resto | ID: node/1045054743 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Café Caché | ID: node/1045581368 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: Nord Nord | ID: node/1046316249 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity, Architecture.
Bar: (sans nom) | ID: node/1068630302 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Devotion Café | ID: node/1102552605 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries.
Bar: Le Montmartre | ID: node/1165762461 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Istanbul Grill | ID: node/1181374937 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Furniture, Activity.
Bar: Sakura Sushi | ID: node/1211150598 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Ruisseau | ID: node/1229535476 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Vincenzo | ID: node/1234196514 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity, Protection.
Bar: La Riposte restaurant | ID: node/1234196682 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Chez Pino | ID: node/1234207142 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Perception | ID: node/1234207296 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection.
Bar: Pizzou | ID: node/1234207474 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Architecture.
Bar: Les Petites Flèches | ID: node/1234207497 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Crêperie Pen-ty | ID: node/1234207512 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries, Furniture.
Bar: Le Lipstick | ID: node/1235164067 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture, Activity.
Bar: Sister Midnight | ID: node/1235238111 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Le Chouf | ID: node/1236518874 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Au Rendez-Vous des Artistes | ID: node/1236682811 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Activity.
Bar: Le Piano Perché | ID: node/1242991243 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Furniture.
Bar: La Mascotte Montmartre | ID: node/1242991244 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Villa des Abbesses | ID: node/1242991247 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Furniture, Protection.
Bar: Café Bruant | ID: node/1242991249 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Furniture, Architecture.
Bar: La Bicyclette | ID: node/1243322704 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries, Activity.
Bar: Starbucks | ID: node/1314241473 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture, Protection.
Bar: Cacio e Pepe | ID: node/1326677896 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: Au Roi du Café | ID: node/1401461536 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Pointe La Fayette | ID: node/1489177440 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection.
Bar: La Rose Rouge | ID: node/1489177443 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Le Formidable | ID: node/1489177444 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Protection, Boundaries.
Bar: Le Conservatoire | ID: node/1489177449 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture.
Bar: Le Florent | ID: node/1489177451 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: Le Taulier | ID: node/1489177454 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection, Activity.
Bar: Adaggio | ID: node/1489177467 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries, Protection.
Bar: Ambroise Paré | ID: node/1528612281 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Chez Irene et Bernard | ID: node/1574980708 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection, Boundaries.
Bar: Le Voltigeur | ID: node/1574982593 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection, Boundaries.
Bar: (sans nom) | ID: node/1595250086 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries.
Bar: Le Padirac | ID: node/1595252875 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection, Boundaries.
Bar: La Fourmi | ID: node/1616985541 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: La Francaise | ID: node/1618002590 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Architecture.
Bar: Auberge du Bonheur | ID: node/1619521147 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Mama Africa | ID: node/1619521172 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture.
Bar: Point Bar | ID: node/1650160704 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Pulcinella | ID: node/1657948395 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Crème | ID: node/1657974487 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries.
Bar: Les Carrières | ID: node/1657977654 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Pizza Caratello | ID: node/1666054488 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries.
Bar: Patakrep | ID: node/1667560925 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Village | ID: node/1667562696 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection, Activity.
Bar: Le Diplomate | ID: node/1667563844 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: La Timbale | ID: node/1667567942 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Le Petit Joseph | ID: node/1667577644 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Simplon | ID: node/1667577648 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Reinitas | ID: node/1668675883 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Jolis Mômes 18Ème | ID: node/1668686161 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Dionis | ID: node/1668711668 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection.
Bar: (sans nom) | ID: node/1668713289 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: L'Oriental | ID: node/1668715840 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity.
Bar: Nonna Clelia | ID: node/1668721943 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: La Chingada | ID: node/1668724955 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity, Boundaries.
Bar: Doppio | ID: node/1668732887 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture.
Bar: Pasticcio | ID: node/1668733595 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: B&J | ID: node/1668734336 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries, Protection.
Bar: Le Bénin | ID: node/1668734745 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Furniture.
Bar: Le Flash | ID: node/1668766274 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Kap thai | ID: node/1668780081 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Haifa | ID: node/1668781071 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture.
Bar: Café Poteau | ID: node/1668852308 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Piscine | ID: node/1669016557 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Dix Sur Dix | ID: node/1669017990 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Boundaries, Architecture.
Bar: Le Rallye | ID: node/1674855139 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Lescargot | ID: node/1674934463 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Architecture.
Bar: Bistrot le Sainte-Isaure | ID: node/1674935278 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture, Boundaries.
Bar: Nord-Sud | ID: node/1674941085 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Africa Grill | ID: node/1674952998 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Protection, Architecture.
Bar: Amore da Francesca | ID: node/1674955048 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection.
Bar: Chez Gaston | ID: node/1679463071 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: Le Provencial | ID: node/1679463986 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Furniture.
Bar: L'Adriatique | ID: node/1679467252 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection, Activity.
Bar: Aux Rendez-Vous des Amis | ID: node/1679470399 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection.
Bar: Le Bar Commun | ID: node/1679482210 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Architecture.
Bar: L’Omadys | ID: node/1702449830 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: The Tibetan Kitchen | ID: node/1706225572 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Tin Tin | ID: node/1706235999 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Babalou | ID: node/1721884559 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Activity, Boundaries.
Bar: Hope Café | ID: node/1725567118 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Cabanon de la Butte | ID: node/1725571311 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Relais de la Butte | ID: node/1741247144 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Saint-Jean | ID: node/1741253764 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Le Vrai Paris | ID: node/1741254171 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity, Protection.
Bar: Au Petit Montmartre | ID: node/1741258648 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection.
Bar: Bistro 27 | ID: node/1765229208 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Furniture, Boundaries.
Bar: Kim | ID: node/1765229211 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture, Activity.
Bar: Chez Lucette | ID: node/1784619141 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture.
Bar: Portobello | ID: node/1791412478 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries, Activity.
Bar: Au Cadet De Gascogne | ID: node/1791641575 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity.
Bar: Mangioni | ID: node/1803957302 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture.
Bar: Le Christophe Colomb | ID: node/1812646130 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Aroï | ID: node/1823551357 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity, Protection.
Bar: Chez Papa | ID: node/1823551361 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Le Bistro des Galopins | ID: node/1823551364 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Parme Clichy | ID: node/1823551400 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: L'Ascension | ID: node/1823551408 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity.
Bar: The Coq & Bulldog | ID: node/1823551410 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Activity.
Bar: Le Déjeuner sur l'Herbe | ID: node/1823551413 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Petit Moulin | ID: node/1865299715 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Autour du Moulin | ID: node/1865299716 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Chinon | ID: node/1865299718 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Boundaries.
Bar: Tentazioni | ID: node/1865299720 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection.
Bar: Café Burq | ID: node/1865299721 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: L'instant | ID: node/1867384174 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries.
Bar: La Carotte Bleue | ID: node/1867397539 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture, Activity.
Bar: Au fin faim | ID: node/1867428325 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Café Le Troquet | ID: node/1867431078 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Restaurant Sidi Rached | ID: node/1868467393 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries.
Bar: Nirvana Dream | ID: node/1868643475 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: L'Alibi | ID: node/1869060190 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: No Problemo | ID: node/1869850882 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Collines d'Asie | ID: node/1869857245 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries.
Bar: La Scrampia | ID: node/1872840250 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Boundaries, Activity.
Bar: Professor Wings | ID: node/1872840266 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection.
Bar: Rajah Café | ID: node/1872840272 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity.
Bar: Clichy's Tavern | ID: node/1875819752 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture, Boundaries.
Bar: Bel-Ami | ID: node/1875831351 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Boundaries, Architecture.
Bar: Royal Custine | ID: node/1876145231 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Ganesha Corner | ID: node/1876323280 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: All Good Things Paris | ID: node/1877310786 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Boundaries, Activity.
Bar: Francis Labutte | ID: node/1877343572 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Café Francœur | ID: node/1877343722 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity.
Bar: Le Bouclard | ID: node/1877443643 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: L'Étoile de Montmartre | ID: node/1877475420 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity.
